S.N.,SEGEMENT,PARTICULARS,BUDGETED AMOUNT FOR THE YEAR (NPR),VALUE,MONTH_NAME,YEAR
E.,OTHER INCOME,API Suite,2000000.0,200000.0,CHAITRA,2082
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,92500.0,CHAITRA,2082
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,33000.0,CHAITRA,2082
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,150000.0,CHAITRA,2082
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,CHAITRA,2082
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,30000.0,CHAITRA,2082
E.,OTHER INCOME,Other Income,838269.1790000001,77211.52983333335,CHAITRA,2082
A.,CARD SEGMENT,Card Sales,4836000.0,483600.0,BAISHAKH,2083
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,920400.0,BAISHAKH,2083
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,350000.0,BAISHAKH,2083
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,BAISHAKH,2083
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,BAISHAKH,2083
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,BAISHAKH,2083
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,658921.0992880706,BAISHAKH,2083
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,438400.0,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,3000000.0,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,2000000.0,BAISHAKH,2083
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,150000.0,BAISHAKH,2083
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,290348.0021296629,BAISHAKH,2083
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,33168.52041621279,BAISHAKH,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,0.0,BAISHAKH,2083
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,99999.99999999999,BAISHAKH,2083
